fecha	hora	precio_md
2015-01-19	12	64.88
2015-01-19	13	59.07
2015-01-19	14	55.69
2015-01-19	15	47.72
2015-01-19	16	47.43
2015-01-19	17	54.56
2015-01-19	18	60.69
2015-01-19	19	67.25
2015-01-19	20	70.01
2015-01-19	21	69
2015-01-19	22	65.69
2015-01-19	23	60.76
2015-01-19	24	56.69
2015-01-20	1	46.67
2015-01-20	2	42.44
2015-01-20	3	42.02
2015-01-20	4	40
2015-01-20	5	39.4
2015-01-20	6	42.02
2015-01-20	7	47.43
2015-01-20	8	63.89
2015-01-20	9	67.69
2015-01-20	10	71.15
2015-01-20	11	77.51
2015-01-20	12	74.75
2015-01-20	13	69.89
2015-01-20	14	67.94
2015-01-20	15	65.01
2015-01-20	16	65.01
2015-01-20	17	66.6
2015-01-20	18	67.94
2015-01-20	19	69.89
2015-01-20	20	70.91
2015-01-20	21	69.18
2015-01-20	22	65.75
2015-01-20	23	63.1
2015-01-20	24	57.59
2015-01-21	1	60.01
2015-01-21	2	47.43
2015-01-21	3	45.94
2015-01-21	4	43.77
2015-01-21	5	42
2015-01-21	6	42.88
2015-01-21	7	46.04
2015-01-21	8	59.82
2015-01-21	9	62.33
2015-01-21	10	65.69
2015-01-21	11	67.75
2015-01-21	12	65.01
2015-01-21	13	59.01
2015-01-21	14	52.6
2015-01-21	15	45.13
2015-01-21	16	44.95
2015-01-21	17	46.25
2015-01-21	18	55.47
2015-01-21	19	59.82
2015-01-21	20	58.34
2015-01-21	21	55.02
2015-01-21	22	45
2015-01-21	23	42
2015-01-21	24	38.5
2015-01-22	1	39.96
2015-01-22	2	38.4
2015-01-22	3	36.98
2015-01-22	4	33.33
2015-01-22	5	33.04
2015-01-22	6	33.33
2015-01-22	7	39.2
2015-01-22	8	45.03
2015-01-22	9	57.2
2015-01-22	10	61.57
2015-01-22	11	63.27
2015-01-22	12	61.45
2015-01-22	13	55.35
2015-01-22	14	54.01
2015-01-22	15	47.43
2015-01-22	16	47.37
2015-01-22	17	51.99
2015-01-22	18	59.2
2015-01-22	19	64.56
2015-01-22	20	65
2015-01-22	21	63.91
2015-01-22	22	60.76
2015-01-22	23	55.1
2015-01-22	24	48
2015-01-23	1	44.45
2015-01-23	2	42.1
2015-01-23	3	39.4
2015-01-23	4	38
2015-01-23	5	35
2015-01-23	6	38
2015-01-23	7	43.6
2015-01-23	8	57.66
2015-01-23	9	62.1
2015-01-23	10	67.01
2015-01-23	11	68.5
2015-01-23	12	67
2015-01-23	13	62.78
2015-01-23	14	59.65
2015-01-23	15	48.25
2015-01-23	16	47.1
2015-01-23	17	52.6
2015-01-23	18	58.34
2015-01-23	19	62.42
2015-01-23	20	65
2015-01-23	21	63.13
2015-01-23	22	60.03
2015-01-23	23	57.59
2015-01-23	24	47.87
2015-01-24	1	44.01
2015-01-24	2	43.12
2015-01-24	3	40.43
2015-01-24	4	36.1
2015-01-24	5	35
2015-01-24	6	35
2015-01-24	7	39.1
2015-01-24	8	41.35
2015-01-24	9	42.58
2015-01-24	10	51.9
2015-01-24	11	57.1
2015-01-24	12	57.59
2015-01-24	13	55.79
2015-01-24	14	52.6
2015-01-24	15	45.2
2015-01-24	16	43.1
2015-01-24	17	40.43
2015-01-24	18	43.52
2015-01-24	19	53.04
2015-01-24	20	57.9
2015-01-24	21	57.59
2015-01-24	22	57.25
2015-01-24	23	50.95
2015-01-24	24	45.95
2015-01-25	1	39.79
2015-01-25	2	31.4
2015-01-25	3	25.83
2015-01-25	4	28.58
2015-01-25	5	25.88
2015-01-25	6	28.13
2015-01-25	7	30
2015-01-25	8	30.6
2015-01-25	9	32.8
2015-01-25	10	38.4
2015-01-25	11	40.5
2015-01-25	12	41
2015-01-25	13	40.5
2015-01-25	14	40.44
2015-01-25	15	38.5
2015-01-25	16	34.82
2015-01-25	17	35.9
2015-01-25	18	40.5
2015-01-25	19	55.1
2015-01-25	20	62.7
2015-01-25	21	63.89
2015-01-25	22	61.95
2015-01-25	23	58.34
2015-01-25	24	51.1
2015-01-26	1	40.84
2015-01-26	2	38
2015-01-26	3	35.09
2015-01-26	4	35
2015-01-26	5	35.63
2015-01-26	6	36.99
2015-01-26	7	45.1
2015-01-26	8	60.76
2015-01-26	9	65.01
2015-01-26	10	68.85
2015-01-26	11	69.7
2015-01-26	12	69.49
2015-01-26	13	67.48
2015-01-26	14	65.78
