fecha	hora	prev_demanda
2015-02-06	15	38173
2015-02-06	16	37545
2015-02-06	17	37272
2015-02-06	18	37264
2015-02-06	19	38534
2015-02-06	20	40619
2015-02-06	21	40106
2015-02-06	22	39320
2015-02-06	23	36779
2015-02-06	24	33812
2015-02-07	1	30693
2015-02-07	2	28214
2015-02-07	3	26344
2015-02-07	4	25389
2015-02-07	5	24894
2015-02-07	6	24802
2015-02-07	7	25389
2015-02-07	8	26777
2015-02-07	9	28381
2015-02-07	10	31713
2015-02-07	11	34544
2015-02-07	12	34989
2015-02-07	13	34482
2015-02-07	14	34554
2015-02-07	15	33928
2015-02-07	16	32571
2015-02-07	17	31723
2015-02-07	18	31448
2015-02-07	19	33007
2015-02-07	20	35475
2015-02-07	21	35943
2015-02-07	22	35889
2015-02-07	23	34156
2015-02-07	24	31681
2015-02-08	1	28955
2015-02-08	2	26563
2015-02-08	3	24631
2015-02-08	4	23654
2015-02-08	5	23153
2015-02-08	6	23130
2015-02-08	7	23590
2015-02-08	8	24686
2015-02-08	9	25154
2015-02-08	10	27452
2015-02-08	11	29610
2015-02-08	12	30610
2015-02-08	13	30424
2015-02-08	14	30745
2015-02-08	15	30619
2015-02-08	16	29377
2015-02-08	17	28730
2015-02-08	18	28819
2015-02-08	19	30384
2015-02-08	20	33533
2015-02-08	21	35221
2015-02-08	22	35379
2015-02-08	23	34163
2015-02-08	24	31272
2015-02-09	1	28090
2015-02-09	2	25721
2015-02-09	3	24245
2015-02-09	4	23644
2015-02-09	5	23599
2015-02-09	6	24440
2015-02-09	7	27614
2015-02-09	8	32810
2015-02-09	9	36632
2015-02-09	10	38611
2015-02-09	11	39237
2015-02-09	12	38936
2015-02-09	13	38242
2015-02-09	14	37903
2015-02-09	15	36625
2015-02-09	16	36116
2015-02-09	17	35972
2015-02-09	18	36599
2015-02-09	19	37112
2015-02-09	20	39632
2015-02-09	21	40469
2015-02-09	22	39300
2015-02-09	23	36827
2015-02-09	24	33067
2015-02-10	1	29693
2015-02-10	2	27290
2015-02-10	3	25897
2015-02-10	4	25298
2015-02-10	5	25164
2015-02-10	6	25768
2015-02-10	7	28421
2015-02-10	8	33130
2015-02-10	9	36370
2015-02-10	10	38173
2015-02-10	11	38715
2015-02-10	12	38468
2015-02-10	13	37752
2015-02-10	14	37413
2015-02-10	15	36152
2015-02-10	16	35696
2015-02-10	17	35535
2015-02-10	18	36022
2015-02-10	19	36768
2015-02-10	20	39218
2015-02-10	21	39819
2015-02-10	22	38700
2015-02-10	23	36297
2015-02-10	24	32633
2015-02-11	1	29548
2015-02-11	2	27157
2015-02-11	3	25837
2015-02-11	4	25313
2015-02-11	5	25116
2015-02-11	6	25716
2015-02-11	7	28541
2015-02-11	8	33583
2015-02-11	9	36625
2015-02-11	10	38299
2015-02-11	11	38727
2015-02-11	12	38453
2015-02-11	13	37884
2015-02-11	14	37305
2015-02-11	15	36279
2015-02-11	16	35964
2015-02-11	17	35842
2015-02-11	18	36257
2015-02-11	19	37313
2015-02-11	20	39206
2015-02-11	21	39624
2015-02-11	22	38917
2015-02-11	23	36304
2015-02-11	24	33037
2015-02-12	1	29369
2015-02-12	2	27051
2015-02-12	3	25703
2015-02-12	4	25194
2015-02-12	5	24976
2015-02-12	6	25542
2015-02-12	7	28274
2015-02-12	8	33302
2015-02-12	9	36192
2015-02-12	10	37756
2015-02-12	11	38464
2015-02-12	12	38219
2015-02-12	13	37665
2015-02-12	14	37413
2015-02-12	15	36080
2015-02-12	16	35592
2015-02-12	17	35376
2015-02-12	18	35689
2015-02-12	19	36322
2015-02-12	20	38983
2015-02-12	21	39151
2015-02-12	22	38234
2015-02-12	23	35575
2015-02-12	24	32144
2015-02-13	1	29480
2015-02-13	2	27097
2015-02-13	3	25801
2015-02-13	4	25167
2015-02-13	5	25014
2015-02-13	6	25565
2015-02-13	7	28302
2015-02-13	8	33199
2015-02-13	9	36062
2015-02-13	10	37440
2015-02-13	11	37911
2015-02-13	12	37582
2015-02-13	13	36879
2015-02-13	14	36446
2015-02-13	15	35034
2015-02-13	16	34351
2015-02-13	17	34006
2015-02-13	18	34186
2015-02-13	19	35048
2015-02-13	20	37496
2015-02-13	21	37605
2015-02-13	22	36912
2015-02-13	23	34662
2015-02-13	24	31910
2015-02-14	1	29366
2015-02-14	2	27111
2015-02-14	3	25346
2015-02-14	4	24291
2015-02-14	5	23932
2015-02-14	6	23882
2015-02-14	7	24563
2015-02-14	8	25996
2015-02-14	9	27315
2015-02-14	10	30372
2015-02-14	11	32535
2015-02-14	12	32764
2015-02-14	13	32154
2015-02-14	14	31981
2015-02-14	15	31257
2015-02-14	16	29974
2015-02-14	17	29205
2015-02-14	18	29085
2015-02-14	19	30351
2015-02-14	20	32879
2015-02-14	21	33620
2015-02-14	22	33533
2015-02-14	23	32102
2015-02-14	24	29807
2015-02-15	1	27252
2015-02-15	2	25011
2015-02-15	3	23223
2015-02-15	4	22161
2015-02-15	5	21763
2015-02-15	6	21759
2015-02-15	7	22261
2015-02-15	8	23123
2015-02-15	9	23402
2015-02-15	10	25514
2015-02-15	11	27628
2015-02-15	12	28606
2015-02-15	13	28529
2015-02-15	14	28804
2015-02-15	15	28575
2015-02-15	16	27285
2015-02-15	17	26656
2015-02-15	18	26304
2015-02-15	19	27758
2015-02-15	20	30933
2015-02-15	21	32325
2015-02-15	22	32869
2015-02-15	23	31612
2015-02-15	24	29135
2015-02-16	1	26199
2015-02-16	2	24267
2015-02-16	3	23165
2015-02-16	4	22733
2015-02-16	5	22740
2015-02-16	6	23295
2015-02-16	7	26210
2015-02-16	8	30856
2015-02-16	9	34064
2015-02-16	10	35539
2015-02-16	11	36384
2015-02-16	12	36355
2015-02-16	13	35882
2015-02-16	14	35785
2015-02-16	15	34499
2015-02-16	16	33775
2015-02-16	17	33553
2015-02-16	18	33711
2015-02-16	19	34440
2015-02-16	20	37045
2015-02-16	21	36938
2015-02-16	22	36069
2015-02-16	23	33530
2015-02-16	24	30491
2015-02-17	1	27992
2015-02-17	2	25988
2015-02-17	3	24782
2015-02-17	4	24103
2015-02-17	5	23944
2015-02-17	6	24506
2015-02-17	7	26648
2015-02-17	8	30782
2015-02-17	9	33463
2015-02-17	10	34807
2015-02-17	11	35528
2015-02-17	12	35592
2015-02-17	13	35266
2015-02-17	14	35235
2015-02-17	15	34091
2015-02-17	16	33352
2015-02-17	17	32971
2015-02-17	18	33011
2015-02-17	19	33627
2015-02-17	20	35975
2015-02-17	21	36315
2015-02-17	22	35739
2015-02-17	23	33543
2015-02-17	24	30503
2015-02-18	1	28316
2015-02-18	2	26202
2015-02-18	3	24929
2015-02-18	4	24482
2015-02-18	5	24386
2015-02-18	6	25031
2015-02-18	7	27620
2015-02-18	8	32228
2015-02-18	9	35052
